,citation_years,pmc_id
3498356,"[2013, 2017, 0, 2016, 2018, 2017, 2016, 2015, 2018, 2014, 2015, 2015, 2014, 2014, 2015, 2014, 2014, 2016]",PMC3498356
3569091,"[2018, 2015, 2014, 2015, 2016, 2013, 2013, 2015, 2014, 2014, 2016, 2017]",PMC3569091
3589817,"[2015, 2013, 2015, 2014, 2014, 2013, 0, 2015, 2015, 2014, 2013, 2016, 2015, 2014, 2017, 2016, 2016, 0, 2013, 2017, 2015, 2016, 0, 2015, 2013, 0, 0, 2018, 2014, 2016, 0, 2015, 2014]",PMC3589817
3605723,"[2016, 2014, 2014, 2013, 2014, 2014, 2013, 2014, 2013]",PMC3605723
3615534,"[2016, 0, 2014, 2017, 2013, 2016, 2014, 2013, 2016]",PMC3615534
3637064,"[2017, 2016, 2017, 2018, 2017, 2018, 2017, 2017, 2018, 2016, 2017, 2015, 2017, 2016, 2018, 0, 2014, 2018, 2016, 2018, 2016, 2017, 2017, 2015, 2018, 2018, 2017, 2016, 2014, 2017, 0, 2015, 2017, 2017, 2016, 2018, 2017, 2018, 2016, 2015, 2017, 0, 2018, 2017, 2017, 2015, 2018, 2017, 2017, 2016, 2017, 2017, 2017, 2018, 2015, 2016, 2014, 2017, 0, 2018, 2017, 2018, 2013, 2016, 2016, 2018, 2015, 2016, 2018, 2016, 2018, 2015, 2017, 2017, 2017, 2018, 0, 2018, 2017, 2017, 2017, 2015, 2016, 2017, 0, 2015, 2018, 2017, 2017, 2017, 2017, 2017, 2017, 2015, 2017, 0, 2016, 2017, 2018, 2018, 2015, 2017, 2016, 2015, 2016, 2016, 2018, 2016, 2017, 2015, 2016, 2016, 2018, 2017, 2017, 2017, 2017, 2016, 2016, 2017, 2015, 2017, 2015, 2017, 0, 2017, 2016, 2016, 2016, 2016, 0, 2015, 2015, 2016, 2015, 2015, 2016, 2014, 2017, 2018, 2017, 2015, 2017, 2016, 2014, 0, 2016, 2016, 2014, 2016, 2017, 2018, 2016, 2015, 2016, 2018, 2017, 2017, 2017, 2015, 2017, 2017, 2017, 2018, 2018, 2017, 2016, 2016, 2017, 0, 2014, 2016, 2017, 2016, 2018, 2017, 2017, 2018, 2015, 2017, 0, 2018, 2018, 2016, 2017, 2016, 2016, 2014, 2015, 2015, 2018, 2016, 2018, 2017, 2017, 0, 2017, 0, 0, 2016, 2017, 0, 2015, 2015, 2014, 2016, 0, 2015, 2016, 2016, 2015, 2013, 2018, 2018, 2014, 2016, 2017, 2017, 2018, 2016, 2017, 2018, 2014, 2017, 2016, 2014, 2017, 2017, 2018, 2015, 2017, 2017, 2017, 2016, 2016, 2016, 2017, 2015, 2015, 2017, 0, 0, 2017, 2016, 2018, 2015, 2018, 2017, 2016, 2017, 2018, 2017, 2017, 2016, 2014, 2016, 2017, 2016, 2018, 0, 2016, 2016, 2016, 2018, 2017, 2016, 2016, 2017, 2017, 2016, 0, 2015, 2016, 2017, 2018, 2018, 0, 0, 2017, 2018, 2017, 2017, 2014, 2016, 2018, 2015, 2014, 2016, 2017, 2017, 2017, 0, 2016, 2018, 2017, 2017, 2016, 2017, 2016, 2016, 2018, 2016, 2015, 2014, 2017, 2017, 2015, 2014, 2018, 2018, 2016, 2017, 2018, 2016, 2014, 2017, 2014, 2017, 2016, 2018, 2017, 2016, 2018, 2016, 2016, 0, 2016, 2017, 2016, 2017, 2015, 2017, 2016, 2015, 2014, 2016, 2016, 2016, 2015, 2014, 2017, 2016, 2016, 2017, 2016, 2015, 2016, 2017, 2016, 2016, 2018, 2016, 0, 2015, 2017, 0, 2016, 0, 2018, 0, 2017, 0, 2015, 2018, 2017, 2018, 2018, 2018, 0, 2018, 2016, 2016, 2017, 2018, 0, 2017, 0, 2015, 2016, 2018, 2018, 2017, 2016, 2017, 0, 2018, 2018, 0, 2018, 2014, 2016, 2017, 2014, 2017, 2017, 2018, 2018, 2018, 2016, 2017, 2018, 2018, 2016, 2018, 2016, 2018, 2016, 2016, 2018, 2018, 2014, 0, 2017, 2017, 2018, 2018, 2017, 2017, 2018, 2017, 2017, 2015, 2014, 2017, 2014, 2016, 2018, 2016, 0, 2017, 2018, 2018, 2017, 2013, 2018, 2016, 2018, 2017, 2017, 2017, 0, 2017, 2017, 2018, 2016, 2016, 2015, 2016, 0, 2015, 2016, 2016, 2017, 2017]",PMC3637064
3667614,"[2015, 2013, 2013, 2015, 2017, 0, 2015, 2017, 2014, 0, 2013, 0, 2017, 0, 2016, 2013, 2015, 2014, 2015, 0, 2016, 0, 0, 2015, 2015, 2015, 0, 2015, 2015, 2015, 2014, 2014, 2013, 2015, 2018, 2015, 2017, 0, 2015, 2014, 2016, 2014, 2014, 2016, 2017, 2016, 0, 2017, 2018, 2014, 2014, 2017, 2013, 0, 0, 2018, 2017, 2016, 2017, 2015, 2014, 2014, 2016, 0, 2016, 2018, 2016, 2017, 2015, 2015, 0, 2015, 2017, 2017, 2017, 2016, 2015, 2017, 2017, 2015, 0, 2014, 2018, 0, 0, 2014, 2016, 2014, 2017, 2013, 2016, 2015, 2016, 2013, 2016, 2017, 2015, 2016, 0, 2015, 2015, 2017, 0, 2015, 2016, 2013, 2017]",PMC3667614
3692096,"[2014, 2014, 2016, 2017, 2014, 2013, 2016, 2015, 0]",PMC3692096
3712222,"[2018, 0, 2015, 2014, 2018, 2017, 2014, 2017, 2017, 2016, 0, 2014, 2014, 2014, 2017, 0, 2017, 2014, 2013]",PMC3712222
3760004,"[2014, 2016, 2017, 2013, 2015, 2016, 2014, 2017, 2015, 2013, 2013, 0, 2016, 2014, 2017, 2016, 2013, 2015, 2017, 2016, 2016, 2016, 2015, 2016, 2016, 2015, 2014, 2016, 2015, 2014, 2014, 0, 2014, 2017, 2014]",PMC3760004
3764016,"[2015, 2017, 2017, 2014, 2015]",PMC3764016
3771683,"[2016, 2014, 2014, 2014, 2013, 2017, 2017, 2015, 2016, 2015]",PMC3771683
3782379,"[2016, 2017, 2018]",PMC3782379
3783590,"[2014, 2015]",PMC3783590
3799471,"[0, 2017, 2017, 2017, 2018, 2018, 2014, 2016, 2017, 2017, 2016, 0, 2016, 2016, 2017, 2014, 2018, 2017, 0, 0, 2015, 2016, 2018, 2016, 2018, 0, 2017, 2017, 2016, 2016, 2018, 2017, 0, 2016, 2016, 2018, 2014, 0, 2018]",PMC3799471
3845839,"[2015, 2016, 2014, 2016, 2016, 2015, 2017, 0, 2016, 2017, 2016, 2015, 2016, 2017, 2017, 2018, 2017, 2017, 0, 2017, 2016, 2015, 2018, 2016, 2014, 2015, 2014, 2018, 2016, 2015, 2016, 2017, 2015]",PMC3845839
3855094,"[2017, 2016, 2017, 2016, 2015, 2014, 2015, 2017, 2016]",PMC3855094
3878311,"[2017, 2016, 2014, 2016, 2018, 2014, 2017, 2014]",PMC3878311
