,citation_years,pmc_id
4987924,"[2018, 2018, 2017, 0, 2017, 2017, 2018, 2017, 2018, 2018, 2017, 2018, 2017, 2016, 2018, 2017, 2017, 0, 2017, 2017, 2016, 2017, 2017, 2017, 0, 2016, 2018, 0, 2018, 2017, 2017, 2017, 2018, 0, 2017, 2018, 2018, 2017, 2017, 2017, 2016, 2018, 2018, 2018, 2017, 2016, 2016, 2018, 2017, 2018, 2017, 2017, 2017, 2018, 2017, 2017, 2018, 2016, 2018, 0, 0, 2017, 2018, 2017, 2016, 2018, 2018, 2017, 2018, 2018, 0, 2018, 2018, 2017, 2018, 2018, 2017, 2018, 2017, 2018, 2018, 2017, 2018, 2018, 2017, 2018, 2017, 2018, 2018, 2018, 2017, 2017, 2017, 2018, 2017, 2018, 2017, 2017, 2017, 2016, 2018, 2017, 0, 2017, 2017, 0, 2016, 2017, 2018, 2017, 2018, 2017, 2017, 2017, 2018, 2017, 2017, 2016, 2018, 2017, 2018, 2017, 2017, 2017, 2018, 2016, 2018, 2017, 2018, 2018, 2018, 2018, 2016, 2017, 2017, 2018, 2017, 2017, 2018, 0, 2018, 2017, 2017, 2017, 2017, 2017, 2017, 2018, 2017, 0, 2018, 2018, 2018, 2018, 2018, 0, 2018, 2016, 2017, 2017, 2018, 2018, 2018, 2018, 2017, 2018, 0, 2017, 2017, 2018, 2017, 2018, 2018, 2017, 2018, 2017, 2017, 2018, 2018, 2017, 0, 2017, 0, 0, 2018, 2018, 2017, 2017, 2018, 2018, 0, 2017, 2018, 2018, 2018, 2018, 2018, 2017, 2017, 2018, 2017, 2017, 2017, 2018, 2017, 2017, 2018, 2017, 2018, 2018, 0, 2017, 2017, 0, 0, 2018, 2018, 2018, 2016, 2017, 2018, 2017, 2018, 2017, 2017, 2018, 2017, 2017, 2017, 2018, 2018, 2018, 2018, 2018, 2017, 2017, 2017, 0, 2017, 2016]",PMC4987924
5001780,"[2017, 2017]",PMC5001780
5003654,"[2018, 2018, 2018, 0, 2018, 2017, 2016, 0, 2018, 2018, 2017, 2016, 0]",PMC5003654
5052684,"[2018, 2017, 2018, 2017, 2017, 2017, 2018, 2017, 2017, 2017, 2018, 2017, 2016, 2018, 2018, 2017]",PMC5052684
5138863,"[2016, 2017, 2017, 2017, 2018, 0, 2017, 2016, 2018, 2017, 2017, 0, 0, 2017, 2016, 2018, 2017, 2017, 0, 0, 2017, 2017, 2018, 2016, 2017, 2016, 2017, 2017, 2018, 2017, 2017, 2017, 2018, 0, 2016, 2018, 2016, 2017, 0, 2016, 2018, 0, 2017, 0, 0]",PMC5138863
5193106,"[2017, 2018, 2018, 2017]",PMC5193106
5248573,"[2018, 2017, 2017, 2017, 2018, 2017, 2018, 2017, 2018, 2017, 2017, 2018, 2018, 2017, 2018, 2018, 0]",PMC5248573
5389891,"[2017, 2018, 2018, 2017, 2017, 2017, 2018, 2018, 2017, 2018, 2018, 2017, 0, 2016, 2018, 2018, 2017, 2018]",PMC5389891
5482631,"[2017, 2018]",PMC5482631
5538315,"[2017, 0, 2017, 2017, 2017, 2017]",PMC5538315
5634325,"[2018, 2018, 2017]",PMC5634325
5655815,"[2017, 2018, 2017]",PMC5655815
5662764,"[2018, 2018]",PMC5662764
