,citations,n_citations,pmc_id
3498356,"['3842764', '5679337', '4270162', '5031183', '6004408', '5753343', '4884375', '4568956', '6007090', '4108877', '4614911', '4562159', '4387853', '4383997', '4510462', '4137659', '4468040', '4943296']",18,PMC3498356
3569091,"['5864870', '4899818', '4075008', '4657038', '5039764', '3628986', '3657311', '4614911', '4148167', '4179751', '4943296', '5395521']",12,PMC3569091
3589817,"['5735825', '3665942', '4343126', '4266859', '4252757', '3631762', '5459479', '4664315', '4772973', '4237129', '3896583', '4922259', '4552035', '4133013', '5458548', '4801608', '5511750', '4040085', '3978720', '5751298', '4883669', '4958913', '5356452', '4493572', '3822379', '5541261', '5839759', '5770892', '4227729', '4878481', '5839671', '4355105', '4145007']",33,PMC3589817
3605723,"['4917453', '4474169', '4215795', '3857660', '4211310', '4086130', '3615534', '4153537', '3726329']",9,PMC3605723
3609407,[],0,PMC3609407
3615534,"['4965635', '4675694', '4221125', '5411077', '3789539', '4868673', '4153537', '3712222', '4925810']",9,PMC3615534
3637064,"['5287206', '4935943', '5458078', '5943456', '5655846', '5963017', '5369994', '5288395', '5941468', '5077982', '5585174', '4620451', '5722529', '4987852', '5915923', '5719256', '4522970', '6033303', '4972086', '6093741', '4848515', '5626774', '5499370', '4450512', '5908890', '5955848', '5461731', '5171841', '4000056', '5731438', '5305050', '4660286', '5534950', '6054162', '5233809', '5784090', '5620210', '5799454', '5216655', '4595048', '5826652', '5029456', '5766255', '5651204', '5487013', '4608290', '5986238', '5792136', '5355295', '4974342', '5554778', '5756132', '5463402', '5991453', '4584935', '4869301', '3939923', '5597596', '5240546', '5945522', '5624871', '6044382', '3689438', '5125005', '4852538', '6037762', '4423931', '5198263', '5983847', '5154582', '5876136', '4528247', '5316229', '5766160', '5796993', '5915486', '4737646', '5768751', '5617414', '5585729', '5788436', '4785873', '4805159', '5828216', '6022402', '4706788', '6097013', '5438253', '5860204', '5793732', '5799026', '5574553', '5339786', '4675833', '6037176', '5148228', '5117786', '5693951', '5846633', '5952074', '4564578', '5618722', '4965635', '4762037', '4811152', '4987924', '6093724', '5029973', '5552342', '4698111', '4759568', '5102823', '5818606', '5445610', '5442469', '5404649', '5793802', '4778670', '4810726', '5550096', '4792598', '5245905', '4673434', '5753260', '4121471', '5776014', '5342772', '5321818', '4798961', '4826467', '4577832', '4605316', '4595691', '5187741', '4652178', '4512630', '4735524', '4128730', '5867652', '6069782', '6008102', '4467049', '5386305', '4852908', '4329105', '6086004', '4958256', '4811567', '4086130', '5183530', '5537649', '5964330', '4810700', '4607730', '5133487', '6060164', '5338254', '5763517', '6005183', '4496098', '5472949', '5354678', '5629117', '5854361', '5863458', '5704221', '5389891', '4948712', '5828651', '5728668', '4179751', '5112125', '5671806', '5187731', '5930930', '5681560', '5461685', '5827688', '4700080', '5609594', '6096346', '6054896', '6026192', '5225026', '5698780', '5313097', '4848467', '4016412', '4633097', '4588861', '5823453', '4914110', '5770416', '5634325', '5952941', '5548955', '5362430', '4570289', '5092539', '5408824', '5579198', '4675694', '4814194', '4599908', '4235654', '5091335', '4471770', '4597137', '5234688', '4836973', '4431878', '3814325', '6018918', '5983872', '4065073', '4795931', '5698490', '5676747', '5995182', '5290347', '5637247', '5833420', '4325716', '5668191', '5484535', '4269931', '5660167', '5314158', '5983438', '4411988', '5555681', '5676454', '5627437', '5008274', '5291199', '5029704', '5453716', '4683459', '4705427', '5785674', '4811310', '5411707', '5574231', '5206557', '6035262', '4829493', '6056463', '5271371', '4751710', '5407620', '5904983', '5662764', '5466605', '4769846', '4212285', '5098112', '6075559', '4931854', '5874908', '5334057', '4864434', '5863786', '5264449', '6072139', '5438350', '5111283', '4881047', '5880751', '5464771', '4937729', '4018488', '4494167', '5224821', '5727529', '6022554', '6090564', '5825845', '4350023', '5767155', '5951268', '5541665', '5845812', '4397367', '5532541', '5884786', '4638031', '4220167', '4959000', '5247339', '5793160', '5723302', '5766845', '4767573', '6053446', '5635981', '5344932', '5356591', '5279943', '5325343', '5024304', '5990481', '4791033', '4806575', '4005802', '5766360', '5557752', '4557333', '4086127', '5992876', '5963296', '5248554', '5452012', '6044387', '5063026', '4217762', '5577832', '4536960', '5538878', '4848503', '6072066', '5577318', '5030657', '5849184', '5342106', '4924082', '3791269', '4956770', '5754365', '4931446', '5393394', '4632177', '6059169', '5088783', '4407711', '4271701', '5508252', '4848848', '5120804', '4760882', '4180544', '5533796', '5179942', '5035993', '5866353', '5141275', '4837897', '5378806', '5716867', '4945940', '4752802', '6082848', '4937192', '5795782', '4562600', '5870750', '6084406', '5088687', '5761433', '6034806', '5927822', '5625807', '5884124', '4573840', '6023921', '5861961', '5800085', '5963057', '5806899', '5538433', '5835840', '5111260', '4965170', '5574577', '5833419', '5818071', '5419856', '4305170', '4667491', '4831157', '5992107', '5920728', '5356346', '5082909', '5345195', '6008200', '5989378', '5869730', '5482419', '6071765', '4289958', '4965549', '5374041', '4253406', '5450240', '5449549', '5991200', '5893633', '5805609', '5146814', '5429574', '6071808', '5796898', '5137722', '5837756', '4905609', '6013397', '5219956', '5025616', '6051655', '5892844', '3961162', '5812729', '5400511', '5742808', '6020348', '5816201', '5725376', '5309995', '5868265', '5360477', '5766701', '4552626', '4153537', '5582409', '3965528', '4972535', '6061932', '4930834', '5747381', '5735158', '5902843', '5807036', '5336557', '3892430', '5957084', '4990699', '6070946', '5634634', '5748463', '5327699', '4345400', '5517637', '5870553', '5840357', '5389481', '4827084', '4596233', '5137755', '5675445', '4407871', '4833890', '4884357', '5343617', '5693957']",454,PMC3637064
3667614,"['4755826', '4023809', '3973435', '4689161', '5452371', '6000359', '4326508', '5354494', '4067595', '4406912', '3972000', '4271180', '5846558', '5359018', '5680709', '3927069', '4604168', '4150259', '4635424', '5056247', '5239501', '3967046', '3954635', '4741699', '4663016', '4624301', '4413026', '4930244', '4484434', '4530107', '4407699', '4039220', '3789186', '4689157', '5958877', '4727530', '5739645', '3899349', '4653238', '5369356', '4716078', '4372129', '4317830', '4900892', '5797028', '5065770', '4959441', '5503158', '5817724', '4046322', '4355017', '5305212', '3898721', '5383873', '5567854', '5990478', '5520052', '5240730', '5700857', '4631646', '4590949', '4118771', '5094989', '3836193', '5136310', '6036498', '4873974', '5503474', '4541382', '4583008', '4197950', '4557106', '5520171', '5527460', '5558186', '4855656', '4541646', '5617104', '5601710', '4742189', '5626456', '4225462', '6005515', '4227881', '3864744', '4300291', '5041331', '4055851', '5654832', '3904298', '5297658', '4363752', '5153268', '3753831', '4925817', '5557292', '4397718', '4755568', '4773703', '4855243', '4741473', '5728441', '4583714', '4603466', '5127645', '3778138', '5959009']",107,PMC3667614
3692096,"['4385735', '4198916', '5093089', '5386720', '4410657', '3880012', '4804509', '4339225', '5665485']",9,PMC3692096
3712222,"['5992522', '4675694', '4706788', '4086107', '6029396', '5581088', '4221125', '5324308', '5587027', '5088783', '4345400', '4065073', '4402723', '4086130', '5374737', '5399661', '5577301', '4153537', '3842763']",19,PMC3712222
