,citations,n_citations,pmc_id
4383998,"['5827021', '5544305', '5760104', '6031333', '6071075', '5592678', '5374431', '5780496', '5340330', '5622526', '5538860', '5967234', '5870625', '5451890', '5915315', '5647145', '4761483', '4830481', '5517520', '5526339', '5239576', '5217775', '5485969', '5743081', '4907268', '5482974', '4604453', '5514133', '5728095', '5210520', '5543598', '5767861', '5754815', '5416902', '5033960', '5495806', '5847340', '5062981', '5734386', '4690350', '5010044', '5227694', '6028971', '5834259', '5402178', '4646006', '5474823', '4938187', '4460185', '5766954', '5896498', '5923425', '5592237', '5656043', '5861491', '4539857', '4967822', '5994137', '6091687', '5092071', '5215434', '5063980', '5423164', '4968890', '5338747', '5290486', '5167066', '4938193', '4791272', '5798317', '5458359', '5120350', '5619925', '5823908', '5035853', '4836875', '5414595', '5321106', '4777318', '5192565', '5423773', '6065387', '4989344', '5085607', '4996973', '4702878', '5998384', '4505552', '5098047', '5652764', '4937331', '5830921', '5204264', '5098034', '5426754', '5808760', '5447391', '5889941', '5095909', '4557753', '5435336', '5538569', '5377910', '5017699', '5021095', '5530960', '6030935', '5585238', '5388652', '6093780', '5630953', '5787451', '5413028', '5328244', '5172356', '5727919', '5702644', '5161751', '5932063', '4931675', '5587867', '6001025', '5726523', '5209680', '5019841', '5386296', '5436273', '5794650', '5862610', '5446092', '5884222', '5199121', '5777159', '5982595', '5336479', '5466708', '6025699', '4806352', '5831536', '5590929', '6092387', '5461540', '5107338', '5095913', '5916809', '4662374', '6014622', '4571873', '5986249', '5526835', '6055133', '5940305', '5877747', '5828613', '5431457', '4821552', '4729826', '5498108', '6043492', '4646365', '5583477', '5586252', '4802229', '5300903', '4803236', '5134900', '5805855', '5733498', '5461031', '5199751', '5498327', '5753337', '6014926', '5470264', '4871769', '5121339', '4780049', '6027404', '6052220', '6047766', '4738454', '5807147', '5684665', '5095052', '5039027', '4802303', '5949147', '4939282', '5389986', '4752963', '4749658', '6056651', '5990471', '5946459', '5735839', '5675028', '5399522', '4696908', '4489257', '5338271', '5760361', '5643318', '6022694', '6003352', '5270647', '5753336', '5679337', '4401789', '4702784', '4801420', '4855289', '4975591', '5880111', '5294997', '5951684', '5815933', '5596418', '5339766', '5889215', '5466820', '4487610', '4460513', '6020354', '4959089', '4844773', '5642675', '5521991', '5761287', '5775258', '5673060', '5465480', '5096009', '4930834', '5930402', '5045537', '4639640', '5986637', '6083879', '5602878', '5670239', '4825026', '5512074', '5461541', '5823547', '5349991', '6077704', '6008067', '5896119', '5157117', '5054351', '5589854', '5682932', '5855641', '5597056', '5511689', '5297662', '5216349', '4799362', '5770337', '5461547', '5575782', '5724187', '5504912', '5325614', '5753398', '5884642', '5622166', '5590822', '5506686', '5372224', '5327758', '5389510', '5813374', '4987901', '5862564', '5089863', '5931534', '5321281', '4702774', '5210603', '5989036', '5927720', '5565103', '5339882', '5549626', '5260790', '5766829', '5524842', '4931110', '6023931', '5267334']",291,PMC4383998
4456804,"['6030863', '5389891', '5052684', '5636275', '4930834', '4704491']",6,PMC4456804
445744,[],0,PMC445744
4461398,"['5509363', '6089072', '5217463', '4691174', '5879788', '5556027', '5785974', '5341104', '5991653', '5465904', '5278449', '5608455', '5630128', '4738397', '5876652', '5997492', '6039425', '5457394']",18,PMC4461398
4587398,"['5791659', '6014622', '5630128', '4982658', '5937290', '6088390', '5347563', '4968810', '5799026', '5617107', '5658129', '4976387', '6075866', '5464733', '5039635', '5555657', '5111815', '5924749', '5136524', '5686230', '4896637', '4958913', '5233430', '5533273', '5898240', '6029891', '5802345', '5248548', '5248573']",29,PMC4587398
4607730,"['5545976', '5052684', '5634325', '6083570', '5111283', '4691145', '4737646', '4987924']",8,PMC4607730
462586,"['2399254', '1758511', '462692', '3215463', '4531608', '1758508', '3519022']",7,PMC462586
4657038,"['5787549', '5828951', '5857607', '5464988', '4887558', '5579542', '5864870']",7,PMC4657038
4675694,[],0,PMC4675694
4707261,"['6077828', '5250550', '5932832', '6014456', '5033939', '5676863', '6085701', '5012159', '5661640', '4857123']",10,PMC4707261
4737646,"['4965635', '5111283', '5438638', '5827688', '5013261', '4987924']",6,PMC4737646
4783079,"['5664374', '6097480', '4916325', '5835698', '5724417', '5864870']",6,PMC4783079
4784899,"['5030825', '5969114', '5775343', '5041498', '5735940', '5918694', '5920724', '5903552', '5292791', '5652232', '6022689', '5950526']",12,PMC4784899
4800742,"['4832459', '6034118', '5833406', '5576451', '4826116', '5964256', '4655160', '5951168', '5574247', '5390134', '5333049', '5790143', '5108435', '5873302', '5447490', '4993645', '5585017', '4751451', '5148671', '5991088', '5077081', '5815878', '4787773', '5451163', '6083872', '5679478', '4854189', '5063613', '5111366', '4947127', '5179919', '5415567', '5138863', '5812426', '5283830', '4916865', '5003654', '4916312', '5409076', '4864155', '5917746', '4946918', '5120541', '5303742', '5886148', '4905271', '4860075', '5842509', '5119725', '4938715', '5584738', '5935138', '6010627', '5854632', '5177458', '5723708', '5321024', '5237533', '4925306', '5009743', '5074894', '5886095', '5007570', '5449186', '4761318', '5555642', '5754368', '4916884', '4910533', '5568450', '4652136', '5504081', '5427168', '4862319', '5997521', '5840287', '5833700', '5846449', '5935713', '5783946', '5674072', '5181624', '6015541', '5359753', '5101148', '4700483', '5279714', '5816713', '5536911', '5722904', '4793236', '5857577', '5263258', '5524429', '5826050', '5580514', '5003651', '4840312', '5641681', '6031111', '5678982', '5946852', '4766718', '5669558', '4758954', '4842317', '5769772', '5409121', '5314733', '4596656', '5788550', '5070503', '5003667', '4797287', '5389700', '5295673', '5468954', '4814715', '5479704', '6063327', '5320981', '5997509', '5998080', '4947123', '5758912', '5451164', '5479438', '5050020', '5997512', '5647251', '5653973', '5886083', '5071740', '5989578', '5562674', '5799296', '5079111', '5423993', '5403602', '5893388', '5207208', '5993797', '5800968', '5879878', '5504286', '5282547', '5677592', '4872077', '6098723', '5498553', '4764581', '5733489', '5095402', '4761393', '4672084', '5087727', '5387085', '5985154', '5409181', '5306383', '5451175', '5836993', '6054632', '5500981', '5504096']",165,PMC4800742
4821530,"['6048900', '5501156', '5530313', '5248400', '5569920', '5468435']",6,PMC4821530
4829466,"['6073096', '5949005', '5823274', '5785604', '5333060', '5099696', '6018539', '5356914', '5540451', '5567685', '5788616', '6062976', '5053503', '4954648', '5701042', '5354662', '5976687', '5581675', '5479409', '5427553', '5690882', '5675705', '5820335', '5438622', '5826874', '4985183', '5689579', '5501744', '5767091', '5550814', '5483886', '4843433', '5996485', '6007253', '6013754', '5584863', '5682688']",37,PMC4829466
4838263,"['5614607', '5905700', '5797227', '5552342', '5224708', '5136524', '5734865', '5388136', '5940180', '5352148', '5799026', '5859574', '5796629']",13,PMC4838263
485547,[],0,PMC485547
4856035,"['5902191', '5966039', '5486920', '5333429']",4,PMC4856035
4857123,"['5117701', '5333448', '6029614', '5831847']",4,PMC4857123
4858944,"['6089676', '5912210', '5061621', '5542054', '5824337', '5799042', '5799026', '5924490', '5951639', '6058230', '5543336', '5510182', '5243792', '5316539', '5747350', '5870625', '5593115']",17,PMC4858944
486834,[],0,PMC486834
487650,[],0,PMC487650
4887336,"['5951639', '5538315', '5655815', '5487217', '5883941', '5799026', '5666005', '5662764', '5966898', '5824337', '5031330', '5753377', '5627437', '5403790', '5510182', '5417362', '5730559', '5760202', '6076438', '5509363', '5342590', '5668135', '5516013', '6089904', '5675459', '5469547', '5843470', '5725273', '5037319', '5729909', '5674849', '5741091', '5342018', '5593313', '5731348', '5659286', '5738392', '5248573']",38,PMC4887336
490832,[],0,PMC490832
491686,[],0,PMC491686
4919895,"['5940885', '5734428']",2,PMC4919895
4930834,"['5545976', '5983857', '5210543', '6082722', '5948854', '5660716', '5705211', '5613673', '5597596', '5960281', '6006150', '5799026', '5893633', '5984374', '5730357', '6048556', '5748993', '5393943', '6068163', '5676875', '5708133', '5955133', '5210555', '5768633', '5559309', '5836265', '5625929', '5961183', '5819998', '5798844', '5869589', '5534955', '5591525', '5668012', '5882811', '5634325', '5979006', '5299575']",38,PMC4930834
496526,"['4387484', '4740585', '1027862', '4903114', '490714', '5426271', '492939', '492478', '493541', '2927980', '492604']",11,PMC496526
4965338,[],0,PMC4965338
4965635,"['5799026', '5962550', '5844453', '5703951', '6007090', '5635550', '5944571', '5946941', '5974511', '5532784']",10,PMC4965635
4972086,"['5501156', '5207757', '5467892', '5407828', '5799026', '6087490']",6,PMC4972086
4976700,"['5353608', '5171204', '5959788']",3,PMC4976700
4987924,"['5794365', '5955139', '5738408', '5839758', '5374431', '5369994', '5849184', '5482631', '5873934', '5983438', '5555681', '5941468', '5676454', '5088783', '5833994', '5404649', '5662721', '5145815', '5788658', '5732286', '5120804', '5500537', '5533796', '5564740', '5322732', '5035993', '5915923', '5719256', '6008949', '5753260', '5689176', '5716867', '5958058', '6029548', '5776014', '6082848', '5983219', '5748428', '5752291', '5499370', '5342772', '6035223', '5923285', '5908890', '5574231', '5321818', '5020511', '6035262', '5625807', '5855815', '5653852', '5534950', '5867652', '5987557', '5708169', '5467892', '5842404', '5167147', '5799454', '5988582', '6086004', '5466605', '5935539', '5501860', '5098112', '6023921', '5800085', '5826652', '5963057', '5806899', '5538433', '5835840', '5769491', '5537649', '5964330', '5766255', '5790449', '5989815', '5704928', '5986238', '5930000', '5792136', '5833419', '5984780', '5597252', '5918431', '5480811', '6025034', '5992107', '5940106', '5763517', '5653836', '5290636', '5920728', '5537499', '5887474', '5663739', '5472949', '5811312', '5264449', '5768645', '5345195', '6008200', '5676071', '5354678', '5482419', '5111283', '5629117', '6071765', '5550273', '5991453', '5464771', '5577269', '5484492', '5863458', '5739103', '5704221', '5334181', '5865691', '5828651', '5930401', '5585404', '5570149', '5597596', '5983314', '5224821', '5945522', '5763504', '6026877', '5893633', '5966421', '5839965', '5363549', '5671806', '5583477', '6090564', '5666779', '5429574', '6071808', '5825845', '5796898', '5564843', '5539108', '5512050', '5681560', '5334791', '5767155', '5827688', '5595433', '6096346', '5983847', '5976644', '5852373', '5876136', '5916914', '5812729', '6007090', '5313097', '5796993', '5742808', '5915486', '5831110', '5884786', '5816201', '5526579', '6031047', '6038052', '5725376', '5343469', '5770416', '5247339', '6021234', '5868265', '5526361', '6024879', '5788436', '5723302', '5915097', '5946061', '5746494', '5969999', '5579198', '6022402', '5646270', '5797227', '6061932', '5635981', '5653784', '6097013', '5961799', '5993436', '5735158', '6061989', '5990481', '5939079', '5902843', '5807036', '5799026', '5339786', '5957084', '5582212', '5792066', '5557752', '6070946', '5634634', '5582941', '6059761', '5748463', '6033697', '5963296', '5927998', '5800316', '5452012', '5315571', '5140035', '5820685', '6056925', '5983872', '5210517', '5577832', '5840357', '5698490', '5802588', '5468228', '5676747', '5813374', '5538878', '5667988', '5727025', '5859335', '5817810', '6093724', '5833420', '5868854', '5668191', '5814201', '5761148', '5790179', '5693957', '5484535']",240,PMC4987924
5001780,"['5543389', '5799769']",2,PMC5001780
5003654,"['5964114', '5783946', '5998748', '5514860', '6015541', '5624725', '5187530', '5127287', '6033695', '5845677', '5684781', '5325844', '5456111']",13,PMC5003654
5052684,"['6063328', '5545976', '6030863', '5622488', '5799026', '5751806', '5836265', '5674015', '5787419', '5784735', '6027196', '5604135', '5111283', '5827688', '6022535', '5726721']",16,PMC5052684
5138863,"['5003651', '5303742', '5760849', '5641681', '6031111', '5678982', '5951168', '4860075', '5989578', '5562674', '5935138', '6010627', '5079111', '5237533', '4925306', '5800968', '5886201', '5736982', '5585017', '5666671', '5578434', '5504096', '5754368', '5409121', '5282547', '5148671', '5788550', '5568450', '6083872', '5427168', '5498553', '5508040', '6035389', '5479704', '5111366', '5833700', '4947127', '5415567', '5536911', '4916865', '5864209', '5595097', '5722904', '5078984', '5263258']",45,PMC5138863
5159530,[],0,PMC5159530
5193106,"['5691694', '5859342', '5790851', '5335661']",4,PMC5193106
5248573,"['6077126', '5248573', '6089072', '5799026', '5845637', '5671412', '5902511', '5532606', '5760019', '5753657', '5748184', '6063884', '5883941', '5997492', '5938620', '5953834', '5725273']",17,PMC5248573
5287226,[],0,PMC5287226
5332957,[],0,PMC5332957
5349314,[],0,PMC5349314
5355998,[],0,PMC5355998
5389891,"['5737394', '5938574', '6030823', '5799026', '5634325', '5952941', '5839301', '6007090', '5510182', '5766255', '6027196', '5726721', '5753597', '4972086', '5827688', '6047367', '5662764', '6031047']",18,PMC5389891
5482631,"['5870796', '6036754']",2,PMC5482631
5493619,[],0,PMC5493619
5536358,[],0,PMC5536358
5538315,"['6089072', '5668135', '5674849', '5655815', '5799026', '5662764']",6,PMC5538315
5541064,[],0,PMC5541064
5543336,[],0,PMC5543336
5579542,[],0,PMC5579542
5599787,[],0,PMC5599787
5610318,[],0,PMC5610318
5632288,[],0,PMC5632288
5634325,"['5893633', '5827688', '5959842']",3,PMC5634325
5655815,"['5729909', '6076438', '5674849']",3,PMC5655815
5662764,"['5921997', '6030863']",2,PMC5662764
5674849,[],0,PMC5674849
5827688,[],0,PMC5827688
5828078,[],0,PMC5828078
5927625,[],0,PMC5927625
